"iso_code3","Year","frac_wali_ww_domestic_urban_treatment_path_untreated_no_sewerage"
"AFG",2011,1
"AFG",2012,1
"AFG",2013,1
"AFG",2014,1
"AFG",2015,1
"AFG",2016,1
"AFG",2017,1
"AFG",2018,1
"AFG",2019,1
"AFG",2020,1
"AGO",2011,0.49811473091326
"AGO",2012,0.49811473091326
"AGO",2013,0.49811473091326
"AGO",2014,0.49811473091326
"AGO",2015,0.49811473091326
"AGO",2016,0.49811473091326
"AGO",2017,0.49811473091326
"AGO",2018,0.49811473091326
"AGO",2019,0.49811473091326
"AGO",2020,0.49811473091326
"ALB",2011,0
"ALB",2012,0
"ALB",2013,0
"ALB",2014,0
"ALB",2015,0
"ALB",2016,0
"ALB",2017,0
"ALB",2018,0
"ALB",2019,0
"ALB",2020,0
"ARE",2011,0
"ARE",2012,0
"ARE",2013,0
"ARE",2014,0
"ARE",2015,0
"ARE",2016,0
"ARE",2017,0
"ARE",2018,0
"ARE",2019,0
"ARE",2020,0
"ARG",2011,0.350691619202604
"ARG",2012,0.350691619202604
"ARG",2013,0.350691619202604
"ARG",2014,0.350691619202604
"ARG",2015,0.350691619202604
"ARG",2016,0.350691619202604
"ARG",2017,0.350691619202604
"ARG",2018,0.350691619202604
"ARG",2019,0.350691619202604
"ARG",2020,0.350691619202604
"ARM",2011,0.525896414342629
"ARM",2012,0.525896414342629
"ARM",2013,0.525896414342629
"ARM",2014,0.525896414342629
"ARM",2015,0.525896414342629
"ARM",2016,0.525896414342629
"ARM",2017,0.525896414342629
"ARM",2018,0.525896414342629
"ARM",2019,0.525896414342629
"ARM",2020,0.525896414342629
"AUS",2011,0.0448901623686724
"AUS",2012,0.0448901623686724
"AUS",2013,0.0448901623686724
"AUS",2014,0.0448901623686724
"AUS",2015,0.0448901623686724
"AUS",2016,0.0448901623686724
"AUS",2017,0.0448901623686724
"AUS",2018,0.0448901623686724
"AUS",2019,0.0448901623686724
"AUS",2020,0.0448901623686724
"AUT",2011,0
"AUT",2012,0
"AUT",2013,0
"AUT",2014,0
"AUT",2015,0
"AUT",2016,0
"AUT",2017,0
"AUT",2018,0
"AUT",2019,0
"AUT",2020,0
