"iso_code3","frac_waso_initial_composition_mun_food","Year"
"ABW",0.377958513029045,2010
"ABW",0.377958513029045,2011
"ABW",0.377958513029045,2012
"ABW",0.377958513029045,2013
"ABW",0.377958513029045,2014
"ABW",0.377958513029045,2015
"ABW",0.377958513029045,2016
"ABW",0.377958513029045,2017
"ABW",0.377958513029045,2018
"ABW",0.377958513029045,2019
"ABW",0.377958513029045,2020
"AFG",0.49411264260078,2010
"AFG",0.49411264260078,2011
"AFG",0.49411264260078,2012
"AFG",0.49411264260078,2013
"AFG",0.49411264260078,2014
"AFG",0.49411264260078,2015
"AFG",0.49411264260078,2016
"AFG",0.49411264260078,2017
"AFG",0.49411264260078,2018
"AFG",0.49411264260078,2019
"AFG",0.49411264260078,2020
"AGO",0.518,2010
"AGO",0.518,2011
"AGO",0.518,2012
"AGO",0.518,2013
"AGO",0.518,2014
"AGO",0.518,2015
"AGO",0.518,2016
"AGO",0.518,2017
"AGO",0.518,2018
"AGO",0.518,2019
"AGO",0.518,2020
"ALB",0.514,2010
"ALB",0.514,2011
"ALB",0.514,2012
"ALB",0.514,2013
"ALB",0.514,2014
"ALB",0.514,2015
"ALB",0.514,2016
"ALB",0.514,2017
"ALB",0.514,2018
"ALB",0.514,2019
"ALB",0.514,2020
"AND",0.312,2010
"AND",0.312,2011
"AND",0.312,2012
"AND",0.312,2013
"AND",0.312,2014
"AND",0.312,2015
"AND",0.312,2016
"AND",0.312,2017
"AND",0.312,2018
"AND",0.312,2019
"AND",0.312,2020
"ARE",0.39,2010
"ARE",0.39,2011
"ARE",0.39,2012
"ARE",0.39,2013
"ARE",0.39,2014
"ARE",0.39,2015
"ARE",0.39,2016
"ARE",0.39,2017
"ARE",0.39,2018
"ARE",0.39,2019
"ARE",0.39,2020
"ARG",0.3874,2010
"ARG",0.3874,2011
"ARG",0.3874,2012
"ARG",0.3874,2013
"ARG",0.3874,2014
"ARG",0.3874,2015
"ARG",0.3874,2016
"ARG",0.3874,2017
"ARG",0.3874,2018
"ARG",0.3874,2019
"ARG",0.3874,2020
"ARM",0.57,2010
"ARM",0.57,2011
"ARM",0.57,2012
"ARM",0.57,2013
"ARM",0.57,2014
"ARM",0.57,2015
"ARM",0.57,2016
"ARM",0.57,2017
"ARM",0.57,2018
"ARM",0.57,2019
"ARM",0.57,2020
"ASM",0.197,2010
"ASM",0.197,2011
"ASM",0.197,2012
"ASM",0.197,2013
"ASM",0.197,2014
"ASM",0.197,2015
"ASM",0.197,2016
"ASM",0.197,2017
"ASM",0.197,2018
"ASM",0.197,2019
"ASM",0.197,2020
"ATG",0.46,2010
"ATG",0.46,2011
"ATG",0.46,2012
"ATG",0.46,2013
"ATG",0.46,2014
"ATG",0.46,2015
"ATG",0.46,2016
"ATG",0.46,2017
"ATG",0.46,2018
"ATG",0.46,2019
"ATG",0.46,2020
"AUS",0.4844,2010
"AUS",0.4844,2011
"AUS",0.4844,2012
"AUS",0.4844,2013
"AUS",0.4844,2014
"AUS",0.4844,2015
"AUS",0.4844,2016
"AUS",0.4844,2017
"AUS",0.4844,2018
"AUS",0.4844,2019
"AUS",0.4844,2020
"AUT",0.314,2010
"AUT",0.314,2011
"AUT",0.314,2012
"AUT",0.314,2013
"AUT",0.314,2014
"AUT",0.314,2015
"AUT",0.314,2016
"AUT",0.314,2017
"AUT",0.314,2018
"AUT",0.314,2019
"AUT",0.314,2020
"AZE",0.4519,2010
"AZE",0.4519,2011
"AZE",0.4519,2012
"AZE",0.4519,2013
"AZE",0.4519,2014
"AZE",0.4519,2015
"AZE",0.4519,2016
"AZE",0.4519,2017
"AZE",0.4519,2018
"AZE",0.4519,2019
"AZE",0.4519,2020
"BDI",0.81,2010
"BDI",0.81,2011
"BDI",0.81,2012
"BDI",0.81,2013
"BDI",0.81,2014
"BDI",0.81,2015
"BDI",0.81,2016
"BDI",0.81,2017
"BDI",0.81,2018
"BDI",0.81,2019
"BDI",0.81,2020
"BEL",0.1418,2010
"BEL",0.1418,2011
"BEL",0.1418,2012
"BEL",0.1418,2013
"BEL",0.1418,2014
"BEL",0.1418,2015
"BEL",0.1418,2016
"BEL",0.1418,2017
"BEL",0.1418,2018
"BEL",0.1418,2019
"BEL",0.1418,2020
"BEN",0.521,2010
"BEN",0.521,2011
"BEN",0.521,2012
"BEN",0.521,2013
"BEN",0.521,2014
"BEN",0.521,2015
"BEN",0.521,2016
"BEN",0.521,2017
"BEN",0.521,2018
"BEN",0.521,2019
"BEN",0.521,2020
"BFA",0.21,2010
"BFA",0.21,2011
"BFA",0.21,2012
"BFA",0.21,2013
"BFA",0.21,2014
"BFA",0.21,2015
"BFA",0.21,2016
"BFA",0.21,2017
"BFA",0.21,2018
"BFA",0.21,2019
"BFA",0.21,2020
"BGD",0.8058,2010
"BGD",0.8058,2011
"BGD",0.8058,2012
"BGD",0.8058,2013
"BGD",0.8058,2014
"BGD",0.8058,2015
"BGD",0.8058,2016
"BGD",0.8058,2017
"BGD",0.8058,2018
"BGD",0.8058,2019
"BGD",0.8058,2020
"BGR",0.2435,2010
"BGR",0.2435,2011
"BGR",0.2435,2012
"BGR",0.2435,2013
"BGR",0.2435,2014
"BGR",0.2435,2015
"BGR",0.2435,2016
"BGR",0.2435,2017
"BGR",0.2435,2018
"BGR",0.2435,2019
"BGR",0.2435,2020
"BHR",0.591,2010
"BHR",0.591,2011
"BHR",0.591,2012
"BHR",0.591,2013
"BHR",0.591,2014
"BHR",0.591,2015
"BHR",0.591,2016
"BHR",0.591,2017
"BHR",0.591,2018
"BHR",0.591,2019
"BHR",0.591,2020
"BHS",0.46,2010
"BHS",0.46,2011
"BHS",0.46,2012
"BHS",0.46,2013
"BHS",0.46,2014
"BHS",0.46,2015
"BHS",0.46,2016
"BHS",0.46,2017
"BHS",0.46,2018
"BHS",0.46,2019
"BHS",0.46,2020
"BIH",0.454094685666825,2010
"BIH",0.454094685666825,2011
"BIH",0.454094685666825,2012
"BIH",0.454094685666825,2013
"BIH",0.454094685666825,2014
"BIH",0.454094685666825,2015
"BIH",0.454094685666825,2016
"BIH",0.454094685666825,2017
"BIH",0.454094685666825,2018
"BIH",0.454094685666825,2019
"BIH",0.454094685666825,2020
"BLR",0.3,2010
"BLR",0.3,2011
"BLR",0.3,2012
"BLR",0.3,2013
"BLR",0.3,2014
"BLR",0.3,2015
"BLR",0.3,2016
"BLR",0.3,2017
"BLR",0.3,2018
"BLR",0.3,2019
"BLR",0.3,2020
"BLZ",0.47,2010
"BLZ",0.47,2011
"BLZ",0.47,2012
"BLZ",0.47,2013
"BLZ",0.47,2014
"BLZ",0.47,2015
"BLZ",0.47,2016
"BLZ",0.47,2017
"BLZ",0.47,2018
"BLZ",0.47,2019
"BLZ",0.47,2020
"BMU",0.17,2010
"BMU",0.17,2011
"BMU",0.17,2012
"BMU",0.17,2013
"BMU",0.17,2014
"BMU",0.17,2015
"BMU",0.17,2016
"BMU",0.17,2017
"BMU",0.17,2018
"BMU",0.17,2019
"BMU",0.17,2020
"BOL",0.551969111969112,2010
"BOL",0.551969111969112,2011
"BOL",0.551969111969112,2012
"BOL",0.551969111969112,2013
"BOL",0.551969111969112,2014
"BOL",0.551969111969112,2015
"BOL",0.551969111969112,2016
"BOL",0.551969111969112,2017
"BOL",0.551969111969112,2018
"BOL",0.551969111969112,2019
"BOL",0.551969111969112,2020
"BRA",0.514,2010
"BRA",0.514,2011
"BRA",0.514,2012
"BRA",0.514,2013
"BRA",0.514,2014
"BRA",0.514,2015
"BRA",0.514,2016
"BRA",0.514,2017
"BRA",0.514,2018
"BRA",0.514,2019
"BRA",0.514,2020
"BRB",0.183,2010
"BRB",0.183,2011
"BRB",0.183,2012
"BRB",0.183,2013
"BRB",0.183,2014
"BRB",0.183,2015
"BRB",0.183,2016
"BRB",0.183,2017
"BRB",0.183,2018
"BRB",0.183,2019
"BRB",0.183,2020
"BRN",0.36,2010
"BRN",0.36,2011
"BRN",0.36,2012
"BRN",0.36,2013
"BRN",0.36,2014
"BRN",0.36,2015
"BRN",0.36,2016
"BRN",0.36,2017
"BRN",0.36,2018
"BRN",0.36,2019
"BRN",0.36,2020
"BTN",0.58,2010
"BTN",0.58,2011
"BTN",0.58,2012
"BTN",0.58,2013
"BTN",0.58,2014
"BTN",0.58,2015
"BTN",0.58,2016
"BTN",0.58,2017
"BTN",0.58,2018
"BTN",0.58,2019
"BTN",0.58,2020
"BWA",0.081,2010
"BWA",0.081,2011
"BWA",0.081,2012
"BWA",0.081,2013
"BWA",0.081,2014
"BWA",0.081,2015
"BWA",0.081,2016
"BWA",0.081,2017
"BWA",0.081,2018
"BWA",0.081,2019
"BWA",0.081,2020
"CAF",0.493373197423707,2010
"CAF",0.493373197423707,2011
"CAF",0.493373197423707,2012
"CAF",0.493373197423707,2013
"CAF",0.493373197423707,2014
"CAF",0.493373197423707,2015
"CAF",0.493373197423707,2016
"CAF",0.493373197423707,2017
"CAF",0.493373197423707,2018
"CAF",0.493373197423707,2019
"CAF",0.493373197423707,2020
"CAN",0.24,2010
"CAN",0.24,2011
"CAN",0.24,2012
"CAN",0.24,2013
"CAN",0.24,2014
"CAN",0.24,2015
"CAN",0.24,2016
"CAN",0.24,2017
"CAN",0.24,2018
"CAN",0.24,2019
"CAN",0.24,2020
"CHE",0.29,2010
"CHE",0.29,2011
"CHE",0.29,2012
"CHE",0.29,2013
"CHE",0.29,2014
"CHE",0.29,2015
"CHE",0.29,2016
"CHE",0.29,2017
"CHE",0.29,2018
"CHE",0.29,2019
"CHE",0.29,2020
"CHI",0.341286759207892,2010
"CHI",0.341286759207892,2011
"CHI",0.341286759207892,2012
"CHI",0.341286759207892,2013
"CHI",0.341286759207892,2014
"CHI",0.341286759207892,2015
"CHI",0.341286759207892,2016
"CHI",0.341286759207892,2017
"CHI",0.341286759207892,2018
"CHI",0.341286759207892,2019
"CHI",0.341286759207892,2020
"CHL",0.533,2010
"CHL",0.533,2011
"CHL",0.533,2012
"CHL",0.533,2013
"CHL",0.533,2014
"CHL",0.533,2015
"CHL",0.533,2016
"CHL",0.533,2017
"CHL",0.533,2018
"CHL",0.533,2019
"CHL",0.533,2020
"CHN",0.612,2010
"CHN",0.612,2011
"CHN",0.612,2012
"CHN",0.612,2013
"CHN",0.612,2014
"CHN",0.612,2015
"CHN",0.612,2016
"CHN",0.612,2017
"CHN",0.612,2018
"CHN",0.612,2019
"CHN",0.612,2020
"CIV",0.486539525228681,2010
"CIV",0.486539525228681,2011
"CIV",0.486539525228681,2012
"CIV",0.486539525228681,2013
"CIV",0.486539525228681,2014
"CIV",0.486539525228681,2015
"CIV",0.486539525228681,2016
"CIV",0.486539525228681,2017
"CIV",0.486539525228681,2018
"CIV",0.486539525228681,2019
"CIV",0.486539525228681,2020
"CMR",0.834,2010
"CMR",0.834,2011
"CMR",0.834,2012
"CMR",0.834,2013
"CMR",0.834,2014
"CMR",0.834,2015
"CMR",0.834,2016
"CMR",0.834,2017
"CMR",0.834,2018
"CMR",0.834,2019
"CMR",0.834,2020
"COD",0.504461965886194,2010
"COD",0.504461965886194,2011
"COD",0.504461965886194,2012
"COD",0.504461965886194,2013
"COD",0.504461965886194,2014
"COD",0.504461965886194,2015
"COD",0.504461965886194,2016
"COD",0.504461965886194,2017
"COD",0.504461965886194,2018
"COD",0.504461965886194,2019
"COD",0.504461965886194,2020
"COG",0.479613253524784,2010
"COG",0.479613253524784,2011
"COG",0.479613253524784,2012
"COG",0.479613253524784,2013
"COG",0.479613253524784,2014
"COG",0.479613253524784,2015
"COG",0.479613253524784,2016
"COG",0.479613253524784,2017
"COG",0.479613253524784,2018
"COG",0.479613253524784,2019
"COG",0.479613253524784,2020
"COL",0.5958,2010
"COL",0.5958,2011
"COL",0.5958,2012
"COL",0.5958,2013
"COL",0.5958,2014
"COL",0.5958,2015
"COL",0.5958,2016
"COL",0.5958,2017
"COL",0.5958,2018
"COL",0.5958,2019
"COL",0.5958,2020
"COM",0.5,2010
"COM",0.5,2011
"COM",0.5,2012
"COM",0.5,2013
"COM",0.5,2014
"COM",0.5,2015
"COM",0.5,2016
"COM",0.5,2017
"COM",0.5,2018
"COM",0.5,2019
"COM",0.5,2020
"CPV",0.474470616272737,2010
"CPV",0.474470616272737,2011
"CPV",0.474470616272737,2012
"CPV",0.474470616272737,2013
"CPV",0.474470616272737,2014
"CPV",0.474470616272737,2015
"CPV",0.474470616272737,2016
"CPV",0.474470616272737,2017
"CPV",0.474470616272737,2018
"CPV",0.474470616272737,2019
"CPV",0.474470616272737,2020
"CRI",0.58,2010
"CRI",0.58,2011
"CRI",0.58,2012
"CRI",0.58,2013
"CRI",0.58,2014
"CRI",0.58,2015
"CRI",0.58,2016
"CRI",0.58,2017
"CRI",0.58,2018
"CRI",0.58,2019
"CRI",0.58,2020
"CUB",0.689,2010
"CUB",0.689,2011
"CUB",0.689,2012
"CUB",0.689,2013
"CUB",0.689,2014
"CUB",0.689,2015
"CUB",0.689,2016
"CUB",0.689,2017
"CUB",0.689,2018
"CUB",0.689,2019
"CUB",0.689,2020
"CUW",0.404578212921288,2010
"CUW",0.404578212921288,2011
"CUW",0.404578212921288,2012
"CUW",0.404578212921288,2013
"CUW",0.404578212921288,2014
"CUW",0.404578212921288,2015
"CUW",0.404578212921288,2016
"CUW",0.404578212921288,2017
"CUW",0.404578212921288,2018
"CUW",0.404578212921288,2019
"CUW",0.404578212921288,2020
"CYM",0.109,2010
"CYM",0.109,2011
"CYM",0.109,2012
"CYM",0.109,2013
"CYM",0.109,2014
"CYM",0.109,2015
"CYM",0.109,2016
"CYM",0.109,2017
"CYM",0.109,2018
"CYM",0.109,2019
"CYM",0.109,2020
"CYP",0.4147,2010
"CYP",0.4147,2011
"CYP",0.4147,2012
"CYP",0.4147,2013
"CYP",0.4147,2014
"CYP",0.4147,2015
"CYP",0.4147,2016
"CYP",0.4147,2017
"CYP",0.4147,2018
"CYP",0.4147,2019
"CYP",0.4147,2020
"CZE",0.623,2010
"CZE",0.623,2011
"CZE",0.623,2012
"CZE",0.623,2013
"CZE",0.623,2014
"CZE",0.623,2015
"CZE",0.623,2016
"CZE",0.623,2017
"CZE",0.623,2018
"CZE",0.623,2019
"CZE",0.623,2020
"DEU",0.3,2010
"DEU",0.3,2011
"DEU",0.3,2012
"DEU",0.3,2013
"DEU",0.3,2014
"DEU",0.3,2015
"DEU",0.3,2016
"DEU",0.3,2017
"DEU",0.3,2018
"DEU",0.3,2019
"DEU",0.3,2020
"DJI",0.473705388766216,2010
"DJI",0.473705388766216,2011
"DJI",0.473705388766216,2012
"DJI",0.473705388766216,2013
"DJI",0.473705388766216,2014
"DJI",0.473705388766216,2015
"DJI",0.473705388766216,2016
"DJI",0.473705388766216,2017
"DJI",0.473705388766216,2018
"DJI",0.473705388766216,2019
"DJI",0.473705388766216,2020
"DMA",0.45,2010
"DMA",0.45,2011
"DMA",0.45,2012
"DMA",0.45,2013
"DMA",0.45,2014
"DMA",0.45,2015
"DMA",0.45,2016
"DMA",0.45,2017
"DMA",0.45,2018
"DMA",0.45,2019
"DMA",0.45,2020
"DNK",0.1278,2010
"DNK",0.1278,2011
"DNK",0.1278,2012
"DNK",0.1278,2013
"DNK",0.1278,2014
"DNK",0.1278,2015
"DNK",0.1278,2016
"DNK",0.1278,2017
"DNK",0.1278,2018
"DNK",0.1278,2019
"DNK",0.1278,2020
"DOM",0.51,2010
"DOM",0.51,2011
"DOM",0.51,2012
"DOM",0.51,2013
"DOM",0.51,2014
"DOM",0.51,2015
"DOM",0.51,2016
"DOM",0.51,2017
"DOM",0.51,2018
"DOM",0.51,2019
"DOM",0.51,2020
"DZA",0.544,2010
"DZA",0.544,2011
"DZA",0.544,2012
"DZA",0.544,2013
"DZA",0.544,2014
"DZA",0.544,2015
"DZA",0.544,2016
"DZA",0.544,2017
"DZA",0.544,2018
"DZA",0.544,2019
"DZA",0.544,2020
"ECU",0.5867,2010
"ECU",0.5867,2011
"ECU",0.5867,2012
"ECU",0.5867,2013
"ECU",0.5867,2014
"ECU",0.5867,2015
"ECU",0.5867,2016
"ECU",0.5867,2017
"ECU",0.5867,2018
"ECU",0.5867,2019
"ECU",0.5867,2020
"EGY",0.56,2010
"EGY",0.56,2011
"EGY",0.56,2012
"EGY",0.56,2013
"EGY",0.56,2014
"EGY",0.56,2015
"EGY",0.56,2016
"EGY",0.56,2017
"EGY",0.56,2018
"EGY",0.56,2019
"EGY",0.56,2020
"ERI",0.4904216060923,2010
"ERI",0.4904216060923,2011
"ERI",0.4904216060923,2012
"ERI",0.4904216060923,2013
"ERI",0.4904216060923,2014
"ERI",0.4904216060923,2015
"ERI",0.4904216060923,2016
"ERI",0.4904216060923,2017
"ERI",0.4904216060923,2018
"ERI",0.4904216060923,2019
"ERI",0.4904216060923,2020
"ESP",0.49,2010
"ESP",0.49,2011
"ESP",0.49,2012
"ESP",0.49,2013
"ESP",0.49,2014
"ESP",0.49,2015
"ESP",0.49,2016
"ESP",0.49,2017
"ESP",0.49,2018
"ESP",0.49,2019
"ESP",0.49,2020
"EST",0.367,2010
"EST",0.367,2011
"EST",0.367,2012
"EST",0.367,2013
"EST",0.367,2014
"EST",0.367,2015
"EST",0.367,2016
"EST",0.367,2017
"EST",0.367,2018
"EST",0.367,2019
"EST",0.367,2020
"ETH",0.876,2010
"ETH",0.876,2011
"ETH",0.876,2012
"ETH",0.876,2013
"ETH",0.876,2014
"ETH",0.876,2015
"ETH",0.876,2016
"ETH",0.876,2017
"ETH",0.876,2018
"ETH",0.876,2019
"ETH",0.876,2020
"FIN",0.3588,2010
"FIN",0.3588,2011
"FIN",0.3588,2012
"FIN",0.3588,2013
"FIN",0.3588,2014
"FIN",0.3588,2015
"FIN",0.3588,2016
"FIN",0.3588,2017
"FIN",0.3588,2018
"FIN",0.3588,2019
"FIN",0.3588,2020
"FJI",0.332,2010
"FJI",0.332,2011
"FJI",0.332,2012
"FJI",0.332,2013
"FJI",0.332,2014
"FJI",0.332,2015
"FJI",0.332,2016
"FJI",0.332,2017
"FJI",0.332,2018
"FJI",0.332,2019
"FJI",0.332,2020
"FRA",0.32,2010
"FRA",0.32,2011
"FRA",0.32,2012
"FRA",0.32,2013
"FRA",0.32,2014
"FRA",0.32,2015
"FRA",0.32,2016
"FRA",0.32,2017
"FRA",0.32,2018
"FRA",0.32,2019
"FRA",0.32,2020
"FRO",0.348762609137774,2010
"FRO",0.348762609137774,2011
"FRO",0.348762609137774,2012
"FRO",0.348762609137774,2013
"FRO",0.348762609137774,2014
"FRO",0.348762609137774,2015
"FRO",0.348762609137774,2016
"FRO",0.348762609137774,2017
"FRO",0.348762609137774,2018
"FRO",0.348762609137774,2019
"FRO",0.348762609137774,2020
"FSM",0.2383,2010
"FSM",0.2383,2011
"FSM",0.2383,2012
"FSM",0.2383,2013
"FSM",0.2383,2014
"FSM",0.2383,2015
"FSM",0.2383,2016
"FSM",0.2383,2017
"FSM",0.2383,2018
"FSM",0.2383,2019
"FSM",0.2383,2020
"GAB",0.434408250715437,2010
"GAB",0.434408250715437,2011
"GAB",0.434408250715437,2012
"GAB",0.434408250715437,2013
"GAB",0.434408250715437,2014
"GAB",0.434408250715437,2015
"GAB",0.434408250715437,2016
"GAB",0.434408250715437,2017
"GAB",0.434408250715437,2018
"GAB",0.434408250715437,2019
"GAB",0.434408250715437,2020
"GBR",0.167,2010
"GBR",0.167,2011
"GBR",0.167,2012
"GBR",0.167,2013
"GBR",0.167,2014
"GBR",0.167,2015
"GBR",0.167,2016
"GBR",0.167,2017
"GBR",0.167,2018
"GBR",0.167,2019
"GBR",0.167,2020
"GEO",0.39,2010
"GEO",0.39,2011
"GEO",0.39,2012
"GEO",0.39,2013
"GEO",0.39,2014
"GEO",0.39,2015
"GEO",0.39,2016
"GEO",0.39,2017
"GEO",0.39,2018
"GEO",0.39,2019
"GEO",0.39,2020
"GHA",0.67,2010
"GHA",0.67,2011
"GHA",0.67,2012
"GHA",0.67,2013
"GHA",0.67,2014
"GHA",0.67,2015
"GHA",0.67,2016
"GHA",0.67,2017
"GHA",0.67,2018
"GHA",0.67,2019
"GHA",0.67,2020
"GIB",0.2457,2010
"GIB",0.2457,2011
"GIB",0.2457,2012
"GIB",0.2457,2013
"GIB",0.2457,2014
"GIB",0.2457,2015
"GIB",0.2457,2016
"GIB",0.2457,2017
"GIB",0.2457,2018
"GIB",0.2457,2019
"GIB",0.2457,2020
"GIN",0.58,2010
"GIN",0.58,2011
"GIN",0.58,2012
"GIN",0.58,2013
"GIN",0.58,2014
"GIN",0.58,2015
"GIN",0.58,2016
"GIN",0.58,2017
"GIN",0.58,2018
"GIN",0.58,2019
"GIN",0.58,2020
"GMB",0.35,2010
"GMB",0.35,2011
"GMB",0.35,2012
"GMB",0.35,2013
"GMB",0.35,2014
"GMB",0.35,2015
"GMB",0.35,2016
"GMB",0.35,2017
"GMB",0.35,2018
"GMB",0.35,2019
"GMB",0.35,2020
"GNB",0.489707206869356,2010
"GNB",0.489707206869356,2011
"GNB",0.489707206869356,2012
"GNB",0.489707206869356,2013
"GNB",0.489707206869356,2014
"GNB",0.489707206869356,2015
"GNB",0.489707206869356,2016
"GNB",0.489707206869356,2017
"GNB",0.489707206869356,2018
"GNB",0.489707206869356,2019
"GNB",0.489707206869356,2020
"GNQ",0.413586998305073,2010
"GNQ",0.413586998305073,2011
"GNQ",0.413586998305073,2012
"GNQ",0.413586998305073,2013
"GNQ",0.413586998305073,2014
"GNQ",0.413586998305073,2015
"GNQ",0.413586998305073,2016
"GNQ",0.413586998305073,2017
"GNQ",0.413586998305073,2018
"GNQ",0.413586998305073,2019
"GNQ",0.413586998305073,2020
"GRC",0.4,2010
"GRC",0.4,2011
"GRC",0.4,2012
"GRC",0.4,2013
"GRC",0.4,2014
"GRC",0.4,2015
"GRC",0.4,2016
"GRC",0.4,2017
"GRC",0.4,2018
"GRC",0.4,2019
"GRC",0.4,2020
