Year,iso_code3,ef_lndu_conv_forests_secondary_to_grasslands_gg_co2_ha
2018,SSD,0.082063
2019,SSD,0.082063
2015,SVK,0.164327
2016,SVK,0.164327
2017,SVK,0.164327
2018,SVK,0.164327
2019,SVK,0.164327
2015,SVN,0.151711
2016,SVN,0.151711
2017,SVN,0.151711
2018,SVN,0.151711
2019,SVN,0.151711
2015,SWE,0.143435
2016,SWE,0.143435
2017,SWE,0.143435
2018,SWE,0.143435
2019,SWE,0.143435
2015,SWZ,0.107106
2016,SWZ,0.107106
2017,SWZ,0.107106
2018,SWZ,0.107106
2019,SWZ,0.107106
2015,SYR,0.095874
2016,SYR,0.095874
2017,SYR,0.095874
2018,SYR,0.095874
2019,SYR,0.095874
2015,TCD,0.075008
2016,TCD,0.075008
2017,TCD,0.075008
2018,TCD,0.075008
2019,TCD,0.075008
2015,TGO,0.079471
2016,TGO,0.079471
2017,TGO,0.079471
2018,TGO,0.079471
2019,TGO,0.079471
2015,THA,0.080277
2016,THA,0.080277
2017,THA,0.080277
2018,THA,0.080277
2019,THA,0.080277
2015,TKM,0.079112
2016,TKM,0.079112
2017,TKM,0.079112
2018,TKM,0.079112
2019,TKM,0.079112
2015,TUN,0.082221
2016,TUN,0.082221
2017,TUN,0.082221
2018,TUN,0.082221
2019,TUN,0.082221
2015,TUR,0.142361
2016,TUR,0.142361
2017,TUR,0.142361
2018,TUR,0.142361
2019,TUR,0.142361
2015,TZA,0.08418
2016,TZA,0.08418
2017,TZA,0.08418
2018,TZA,0.08418
2019,TZA,0.08418
2015,UGA,0.083984
2016,UGA,0.083984
2017,UGA,0.083984
2018,UGA,0.083984
2019,UGA,0.083984
2015,UKR,0.178339
2016,UKR,0.178339
2017,UKR,0.178339
2018,UKR,0.178339
2019,UKR,0.178339
2015,USA,0.149519
2016,USA,0.149519
2017,USA,0.149519
2018,USA,0.149519
2019,USA,0.149519
2015,UZB,0.084356
2016,UZB,0.084356
2017,UZB,0.084356
2018,UZB,0.084356
2019,UZB,0.084356
2015,VEN,0.173341
2016,VEN,0.173341
2017,VEN,0.173341
2018,VEN,0.173341
2019,VEN,0.173341
2015,VIR,0.119542
2016,VIR,0.119542
2017,VIR,0.119542
2018,VIR,0.119542
2019,VIR,0.119542
2015,VNM,0.272632
2016,VNM,0.272632
2017,VNM,0.272632
2018,VNM,0.272632
2019,VNM,0.272632
2015,ZAF,0.100402
2016,ZAF,0.100402
2017,ZAF,0.100402
2018,ZAF,0.100402
2019,ZAF,0.100402
2015,ZMB,0.089596
2016,ZMB,0.089596
2017,ZMB,0.089596
2018,ZMB,0.089596
2019,ZMB,0.089596
2015,ZWE,0.11656
2016,ZWE,0.11656
2017,ZWE,0.11656
2018,ZWE,0.11656
2019,ZWE,0.11656
2015,ABW,0.135034
2016,ABW,0.135034
2017,ABW,0.135034
2018,ABW,0.135034
2019,ABW,0.135034
2015,AND,0.14308
2016,AND,0.14308
2017,AND,0.14308
2018,AND,0.14308
2019,AND,0.14308
2015,ARE,0.099063
2016,ARE,0.099063
2017,ARE,0.099063
2018,ARE,0.099063
2019,ARE,0.099063
2015,ARM,0.203957
2016,ARM,0.203957
2017,ARM,0.203957
2018,ARM,0.203957
2019,ARM,0.203957
2015,ASM,0.148406
2016,ASM,0.148406
2017,ASM,0.148406
2018,ASM,0.148406
2019,ASM,0.148406
2015,ATG,0.119542
2016,ATG,0.119542
2017,ATG,0.119542
2018,ATG,0.119542
2019,ATG,0.119542
2015,BHR,0.099063
2016,BHR,0.099063
2017,BHR,0.099063
2018,BHR,0.099063
2019,BHR,0.099063
2015,BLR,0.180781
2016,BLR,0.180781
2017,BLR,0.180781
2018,BLR,0.180781
2019,BLR,0.180781
2015,BLZ,0.160803
2016,BLZ,0.160803
2017,BLZ,0.160803
2018,BLZ,0.160803
2019,BLZ,0.160803
2015,BMU,0.12164
2016,BMU,0.12164
2017,BMU,0.12164
2018,BMU,0.12164
2019,BMU,0.12164
2015,BRB,0.119542
2016,BRB,0.119542
2017,BRB,0.119542
2018,BRB,0.119542
2019,BRB,0.119542
2015,BRN,0.143592
2016,BRN,0.143592
2017,BRN,0.143592
2018,BRN,0.143592
2019,BRN,0.143592
2015,BWA,0.100402
2016,BWA,0.100402
2017,BWA,0.100402
2018,BWA,0.100402
2019,BWA,0.100402
2015,COM,0.08222
2016,COM,0.08222
2017,COM,0.08222
2018,COM,0.08222
2019,COM,0.08222
2015,CPV,0.095473
2016,CPV,0.095473
2017,CPV,0.095473
2018,CPV,0.095473
2019,CPV,0.095473
2015,CYM,0.129109
2016,CYM,0.129109
2017,CYM,0.129109
2018,CYM,0.129109
2019,CYM,0.129109
2015,DJI,0.084686
2016,DJI,0.084686
2017,DJI,0.084686
2018,DJI,0.084686
2019,DJI,0.084686
2015,DMA,0.119542
2016,DMA,0.119542
2017,DMA,0.119542
2018,DMA,0.119542
2019,DMA,0.119542
2015,EGY,0.126165
2016,EGY,0.126165
2017,EGY,0.126165
2018,EGY,0.126165
2019,EGY,0.126165
2015,FJI,0.148406
2016,FJI,0.148406
2017,FJI,0.148406
2018,FJI,0.148406
2019,FJI,0.148406
2015,FRA,0.145637
2016,FRA,0.145637
2017,FRA,0.145637
2018,FRA,0.145637
2019,FRA,0.145637
2015,FRO,0.14226
2016,FRO,0.14226
2017,FRO,0.14226
2018,FRO,0.14226
2019,FRO,0.14226
2015,FSM,0.148486
2016,FSM,0.148486
2017,FSM,0.148486
2018,FSM,0.148486
2019,FSM,0.148486
2015,GAB,0.11328
2016,GAB,0.11328
2017,GAB,0.11328
2018,GAB,0.11328
2019,GAB,0.11328
2015,GIB,0.099635
2016,GIB,0.099635
2017,GIB,0.099635
2018,GIB,0.099635
2019,GIB,0.099635
2015,GNQ,0.092389
2016,GNQ,0.092389
2017,GNQ,0.092389
2018,GNQ,0.092389
2019,GNQ,0.092389
2015,GRD,0.173341
2016,GRD,0.173341
2017,GRD,0.173341
2018,GRD,0.173341
2019,GRD,0.173341
2015,GRL,0.14226
2016,GRL,0.14226
2017,GRL,0.14226
2018,GRL,0.14226
2019,GRL,0.14226
2015,GUM,0.148486
2016,GUM,0.148486
2017,GUM,0.148486
2018,GUM,0.148486
2019,GUM,0.148486
2015,GUY,0.173341
2016,GUY,0.173341
2017,GUY,0.173341
2018,GUY,0.173341
2019,GUY,0.173341
2015,HKG,0.206435
2016,HKG,0.206435
2017,HKG,0.206435
2018,HKG,0.206435
2019,HKG,0.206435
2015,HTI,0.222053
2016,HTI,0.222053
2017,HTI,0.222053
2018,HTI,0.222053
2019,HTI,0.222053
2015,IMN,0.147173
2016,IMN,0.147173
2017,IMN,0.147173
2018,IMN,0.147173
2019,IMN,0.147173
2015,JOR,0.126165
2016,JOR,0.126165
2017,JOR,0.126165
2018,JOR,0.126165
2019,JOR,0.126165
2015,KIR,0.148486
2016,KIR,0.148486
2017,KIR,0.148486
2018,KIR,0.148486
2019,KIR,0.148486
2015,KNA,0.119542
2016,KNA,0.119542
2017,KNA,0.119542
2018,KNA,0.119542
2019,KNA,0.119542
2015,KOR,0.160478
2016,KOR,0.160478
2017,KOR,0.160478
2018,KOR,0.160478
2019,KOR,0.160478
2015,KWT,0.073562
2016,KWT,0.073562
2017,KWT,0.073562
2018,KWT,0.073562
2019,KWT,0.073562
2015,LBR,0.10869
2016,LBR,0.10869
2017,LBR,0.10869
2018,LBR,0.10869
2019,LBR,0.10869
2015,LCA,0.119542
2016,LCA,0.119542
2017,LCA,0.119542
2018,LCA,0.119542
2019,LCA,0.119542
2015,LIE,0.145637
2016,LIE,0.145637
2017,LIE,0.145637
2018,LIE,0.145637
2019,LIE,0.145637
2015,LSO,0.100402
2016,LSO,0.100402
2017,LSO,0.100402
2018,LSO,0.100402
2019,LSO,0.100402
2015,LUX,0.147173
2016,LUX,0.147173
2017,LUX,0.147173
2018,LUX,0.147173
2019,LUX,0.147173
2015,MAC,0.272632
2016,MAC,0.272632
2017,MAC,0.272632
2018,MAC,0.272632
2019,MAC,0.272632
2015,MAF,0.119542
2016,MAF,0.119542
2017,MAF,0.119542
2018,MAF,0.119542
2019,MAF,0.119542
2015,MCO,0.145637
2016,MCO,0.145637
2017,MCO,0.145637
2018,MCO,0.145637
2019,MCO,0.145637
2015,MDG,0.093455
2016,MDG,0.093455
2017,MDG,0.093455
2018,MDG,0.093455
2019,MDG,0.093455
2015,MDV,0.087667
2016,MDV,0.087667
2017,MDV,0.087667
2018,MDV,0.087667
2019,MDV,0.087667
2015,MHL,0.148486
2016,MHL,0.148486
2017,MHL,0.148486
2018,MHL,0.148486
2019,MHL,0.148486
2015,MLT,0.082221
2016,MLT,0.082221
2017,MLT,0.082221
2018,MLT,0.082221
2019,MLT,0.082221
2015,MNP,0.148486
2016,MNP,0.148486
2017,MNP,0.148486
2018,MNP,0.148486
2019,MNP,0.148486
2015,MRT,0.095473
2016,MRT,0.095473
2017,MRT,0.095473
2018,MRT,0.095473
2019,MRT,0.095473
2015,MUS,0.093455
2016,MUS,0.093455
2017,MUS,0.093455
2018,MUS,0.093455
2019,MUS,0.093455
2015,MYS,0.068947
2016,MYS,0.068947
2017,MYS,0.068947
2018,MYS,0.068947
2019,MYS,0.068947
2015,NAM,0.087605
2016,NAM,0.087605
2017,NAM,0.087605
2018,NAM,0.087605
2019,NAM,0.087605
2015,NCL,0.148406
2016,NCL,0.148406
2017,NCL,0.148406
2018,NCL,0.148406
2019,NCL,0.148406
2015,NOR,0.143435
2016,NOR,0.143435
2017,NOR,0.143435
2018,NOR,0.143435
2019,NOR,0.143435
2015,NRU,0.148486
2016,NRU,0.148486
2017,NRU,0.148486
2018,NRU,0.148486
2019,NRU,0.148486
2015,OMN,0.099063
2016,OMN,0.099063
2017,OMN,0.099063
2018,OMN,0.099063
2019,OMN,0.099063
2015,PHL,0.272632
2016,PHL,0.272632
2017,PHL,0.272632
2018,PHL,0.272632
2019,PHL,0.272632
2015,PLW,0.148486
2016,PLW,0.148486
2017,PLW,0.148486
2018,PLW,0.148486
2019,PLW,0.148486
2015,PYF,0.148406
2016,PYF,0.148406
2017,PYF,0.148406
2018,PYF,0.148406
2019,PYF,0.148406
2015,QAT,0.099063
2016,QAT,0.099063
2017,QAT,0.099063
2018,QAT,0.099063
2019,QAT,0.099063
2015,SAU,0.079054
2016,SAU,0.079054
2017,SAU,0.079054
2018,SAU,0.079054
2019,SAU,0.079054
2015,SGP,0.143592
2016,SGP,0.143592
2017,SGP,0.143592
2018,SGP,0.143592
2019,SGP,0.143592
2015,SLB,0.148486
2016,SLB,0.148486
2017,SLB,0.148486
2018,SLB,0.148486
2019,SLB,0.148486
2015,SLV,0.160803
2016,SLV,0.160803
2017,SLV,0.160803
2018,SLV,0.160803
2019,SLV,0.160803
2015,SMR,0.146932
2016,SMR,0.146932
2017,SMR,0.146932
2018,SMR,0.146932
2019,SMR,0.146932
2015,STP,0.092389
2016,STP,0.092389
2017,STP,0.092389
2018,STP,0.092389
2019,STP,0.092389
2015,SUR,0.173341
2016,SUR,0.173341
2017,SUR,0.173341
2018,SUR,0.173341
2019,SUR,0.173341
2015,SXM,0.119542
2016,SXM,0.119542
2017,SXM,0.119542
2018,SXM,0.119542
2019,SXM,0.119542
2015,SYC,0.085594
2016,SYC,0.085594
2017,SYC,0.085594
2018,SYC,0.085594
2019,SYC,0.085594
2015,TCA,0.222053
2016,TCA,0.222053
2017,TCA,0.222053
2018,TCA,0.222053
2019,TCA,0.222053
2015,TJK,0.084356
2016,TJK,0.084356
2017,TJK,0.084356
2018,TJK,0.084356
2019,TJK,0.084356
2015,TLS,0.143592
2016,TLS,0.143592
2017,TLS,0.143592
2018,TLS,0.143592
2019,TLS,0.143592
2015,TON,0.148406
2016,TON,0.148406
2017,TON,0.148406
2018,TON,0.148406
2019,TON,0.148406
2015,TTO,0.173341
2016,TTO,0.173341
2017,TTO,0.173341
2018,TTO,0.173341
2019,TTO,0.173341
2015,TUV,0.148406
2016,TUV,0.148406
2017,TUV,0.148406
2018,TUV,0.148406
2019,TUV,0.148406
2015,URY,0.139169
2016,URY,0.139169
2017,URY,0.139169
2018,URY,0.139169
2019,URY,0.139169
2015,VCT,0.119542
2016,VCT,0.119542
2017,VCT,0.119542
2018,VCT,0.119542
2019,VCT,0.119542
2015,VGB,0.119542
2016,VGB,0.119542
2017,VGB,0.119542
2018,VGB,0.119542
2019,VGB,0.119542
2015,VUT,0.148406
2016,VUT,0.148406
2017,VUT,0.148406
2018,VUT,0.148406
2019,VUT,0.148406
2015,WSM,0.148406
2016,WSM,0.148406
2017,WSM,0.148406
2018,WSM,0.148406
2019,WSM,0.148406
2015,XKX,0.150702
2016,XKX,0.150702
2017,XKX,0.150702
2018,XKX,0.150702
2019,XKX,0.150702
2015,YEM,0.079054
2016,YEM,0.079054
2017,YEM,0.079054
2018,YEM,0.079054
2019,YEM,0.079054
