"iso_code3","Year","frac_wali_ww_domestic_rural_treatment_path_untreated_with_sewerage"
"AFG",2021,0
"AFG",2022,0
"AFG",2023,0
"AFG",2024,0
"AFG",2025,0
"AFG",2026,0
"AFG",2027,0
"AFG",2028,0
"AFG",2029,0
"AFG",2030,0
"AFG",2031,0
"AFG",2032,0
"AFG",2033,0
"AFG",2034,0
"AFG",2035,0
"AFG",2036,0
"AFG",2037,0
"AFG",2038,0
"AFG",2039,0
"AFG",2040,0
"AFG",2041,0
"AFG",2042,0
"AFG",2043,0
"AFG",2044,0
"AFG",2045,0
"AFG",2046,0
"AFG",2047,0
"AFG",2048,0
"AFG",2049,0
"AFG",2050,0
"AGO",2021,0
"AGO",2022,0
"AGO",2023,0
"AGO",2024,0
"AGO",2025,0
"AGO",2026,0
"AGO",2027,0
"AGO",2028,0
"AGO",2029,0
"AGO",2030,0
"AGO",2031,0
"AGO",2032,0
"AGO",2033,0
"AGO",2034,0
"AGO",2035,0
"AGO",2036,0
"AGO",2037,0
"AGO",2038,0
"AGO",2039,0
"AGO",2040,0
"AGO",2041,0
"AGO",2042,0
"AGO",2043,0
"AGO",2044,0
"AGO",2045,0
"AGO",2046,0
"AGO",2047,0
"AGO",2048,0
"AGO",2049,0
"AGO",2050,0
"ALB",2021,0
"ALB",2022,0
"ALB",2023,0
"ALB",2024,0
"ALB",2025,0
"ALB",2026,0
"ALB",2027,0
"ALB",2028,0
"ALB",2029,0
"ALB",2030,0
"ALB",2031,0
"ALB",2032,0
"ALB",2033,0
"ALB",2034,0
"ALB",2035,0
"ALB",2036,0
"ALB",2037,0
"ALB",2038,0
"ALB",2039,0
"ALB",2040,0
"ALB",2041,0
"ALB",2042,0
"ALB",2043,0
"ALB",2044,0
"ALB",2045,0
"ALB",2046,0
"ALB",2047,0
"ALB",2048,0
"ALB",2049,0
"ALB",2050,0
"ARE",2021,0
"ARE",2022,0
"ARE",2023,0
"ARE",2024,0
"ARE",2025,0
"ARE",2026,0
"ARE",2027,0
"ARE",2028,0
"ARE",2029,0
"ARE",2030,0
"ARE",2031,0
"ARE",2032,0
"ARE",2033,0
"ARE",2034,0
"ARE",2035,0
"ARE",2036,0
"ARE",2037,0
"ARE",2038,0
"ARE",2039,0
"ARE",2040,0
"ARE",2041,0
"ARE",2042,0
"ARE",2043,0
"ARE",2044,0
"ARE",2045,0
"ARE",2046,0
"ARE",2047,0
"ARE",2048,0
"ARE",2049,0
"ARE",2050,0
"ARG",2021,0.536693213666363
"ARG",2022,0.536693213666363
"ARG",2023,0.536693213666363
"ARG",2024,0.536693213666363
"ARG",2025,0.536693213666363
"ARG",2026,0.536693213666363
"ARG",2027,0.536693213666363
"ARG",2028,0.536693213666363
"ARG",2029,0.536693213666363
"ARG",2030,0.536693213666363
"ARG",2031,0.536693213666363
"ARG",2032,0.536693213666363
"ARG",2033,0.536693213666363
"ARG",2034,0.536693213666363
"ARG",2035,0.536693213666363
"ARG",2036,0.536693213666363
"ARG",2037,0.536693213666363
"ARG",2038,0.536693213666363
"ARG",2039,0.536693213666363
"ARG",2040,0.536693213666363
"ARG",2041,0.536693213666363
"ARG",2042,0.536693213666363
"ARG",2043,0.536693213666363
"ARG",2044,0.536693213666363
"ARG",2045,0.536693213666363
"ARG",2046,0.536693213666363
"ARG",2047,0.536693213666363
"ARG",2048,0.536693213666363
"ARG",2049,0.536693213666363
"ARG",2050,0.536693213666363
"ARM",2021,0
"ARM",2022,0
"ARM",2023,0
"ARM",2024,0
"ARM",2025,0
"ARM",2026,0
"ARM",2027,0
"ARM",2028,0
"ARM",2029,0
"ARM",2030,0
"ARM",2031,0
"ARM",2032,0
"ARM",2033,0
"ARM",2034,0
"ARM",2035,0
"ARM",2036,0
"ARM",2037,0
"ARM",2038,0
"ARM",2039,0
"ARM",2040,0
"ARM",2041,0
"ARM",2042,0
"ARM",2043,0
"ARM",2044,0
"ARM",2045,0
"ARM",2046,0
"ARM",2047,0
"ARM",2048,0
"ARM",2049,0
"ARM",2050,0
"AUS",2021,0
"AUS",2022,0
"AUS",2023,0
"AUS",2024,0
"AUS",2025,0
"AUS",2026,0
"AUS",2027,0
"AUS",2028,0
"AUS",2029,0
"AUS",2030,0
"AUS",2031,0
"AUS",2032,0
"AUS",2033,0
"AUS",2034,0
"AUS",2035,0
"AUS",2036,0
"AUS",2037,0
"AUS",2038,0
"AUS",2039,0
"AUS",2040,0
"AUS",2041,0
"AUS",2042,0
"AUS",2043,0
"AUS",2044,0
"AUS",2045,0
"AUS",2046,0
"AUS",2047,0
"AUS",2048,0
"AUS",2049,0
"AUS",2050,0
"AUT",2021,0
"AUT",2022,0
"AUT",2023,0
"AUT",2024,0
"AUT",2025,0
"AUT",2026,0
"AUT",2027,0
"AUT",2028,0
"AUT",2029,0
"AUT",2030,0
"AUT",2031,0
"AUT",2032,0
"AUT",2033,0
"AUT",2034,0
"AUT",2035,0
"AUT",2036,0
"AUT",2037,0
"AUT",2038,0
"AUT",2039,0
"AUT",2040,0
"AUT",2041,0
"AUT",2042,0
"AUT",2043,0
"AUT",2044,0
"AUT",2045,0
"AUT",2046,0
"AUT",2047,0
"AUT",2048,0
"AUT",2049,0
"AUT",2050,0
"AZE",2021,0.0591785151913553
"AZE",2022,0.0591785151913553
"AZE",2023,0.0591785151913553
"AZE",2024,0.0591785151913553
"AZE",2025,0.0591785151913553
"AZE",2026,0.0591785151913553
"AZE",2027,0.0591785151913553
"AZE",2028,0.0591785151913553
